"Bucket","Area","Count"
"developed","Accessibility","1"
"developed","Build/Packaging","2"
"developed","Build/Startup","1"
"developed","CompactMode","2"
"developed","Core","1"
"developed","Core/Polyfill","1"
"developed","Core/Tabs","2"
"developed","Core/UI","2"
"developed","Data","2"
"developed","DnD","2"
"developed","Downloads","3"
"developed","DX","1"
"developed","DX/Running","1"
"developed","Emoji","1"
"developed","Essentials","1"
"developed","Extensions","2"
"developed","Folders","2"
"developed","Glance","3"
"developed","Input/Commands","1"
"developed","Keyboard","1"
"developed","Layering","4"
"developed","Layering/Popups","1"
"developed","Media","1"
"developed","Menubar","1"
"developed","Menus","1"
"developed","Meta","5"
"developed","Meta/Process","1"
"developed","Migration","1"
"developed","Mods","3"
"developed","Motion","1"
"developed","NativeUtils","1"
"developed","Navigation","1"
"developed","Notifications","1"
"developed","Omnibox","3"
"developed","Output","1"
"developed","Overlay","1"
"developed","Packaging","2"
"developed","Panels/Web","3"
"developed","Permissions","1"
"developed","Polish","1"
"developed","Privacy","1"
"developed","Profiles","1"
"developed","Session","2"
"developed","Settings","1"
"developed","Shortcuts","1"
"developed","Sidebar","4"
"developed","Sidebar/CustomizableUI","1"
"developed","Sidebar/Essentials","1"
"developed","SiteDataPanel","1"
"developed","SiteInfo","1"
"developed","SplitView","5"
"developed","Stability","1"
"developed","Startup","3"
"developed","Tabs","14"
"developed","Theme","2"
"developed","Toast","1"
"developed","Updates","1"
"developed","Urlbar","2"
"developed","WebView2","1"
"developed","Welcome","1"
"developed","Window/Layout","5"
"developed","Windows","1"
"developed","WindowSync","1"
"developed","Workspace","3"
"developed","Workspaces","3"
"developed","Workspaces/Theme","1"
